date,close,adj_close
2016-08-15,5.19,2.443715
2016-08-16,5.21,2.453132
2016-08-17,5.2,2.448423
2016-08-18,5.14,2.420172
2016-08-19,5.16,2.429589
2016-08-22,5.13,2.415464
2016-08-23,5.04,2.373087
2016-08-24,4.99,2.349545
2016-08-25,4.96,2.335419
2016-08-26,4.85,2.283626
2016-08-29,4.93,2.321294
2016-08-30,4.9,2.307168
2016-08-31,4.86,2.288334
2016-09-01,4.85,2.283626
2016-09-02,4.84,2.278917
2016-09-06,4.78,2.250666
2016-09-07,4.71,2.217707
2016-09-08,4.85,2.283626
2016-09-09,4.71,2.217707
2016-09-12,4.71,2.217707
2016-09-13,4.75,2.23654
2016-09-14,4.76,2.241249
2016-09-15,4.61,2.170622
2016-09-16,4.68,2.203581
2016-09-19,4.63,2.180039
2016-09-20,4.66,2.194164
2016-09-21,4.86,2.288334
2016-09-22,4.79,2.255374
2016-09-23,4.91,2.311877
2016-09-26,4.93,2.321294
2016-09-27,4.84,2.278917
2016-09-28,4.82,2.2695
2016-09-29,4.72,2.222415
2016-09-30,4.72,2.222415
2016-10-03,4.83,2.274209
2016-10-04,4.81,2.264791
2016-10-05,4.91,2.311877
2016-10-06,4.9,2.307168
2016-10-07,4.96,2.335419
2016-10-10,4.92,2.316585
2016-10-11,4.75,2.23654
2016-10-12,4.84,2.278917
2016-10-13,4.81,2.264791
2016-10-14,4.81,2.264791
2016-10-17,4.76,2.241249
2016-10-18,4.79,2.255374
2016-10-19,4.82,2.2695
2016-10-20,4.81,2.264791
2016-10-21,4.82,2.2695
2016-10-24,4.76,2.241249
2016-10-25,4.71,2.217707
2016-10-26,4.65,2.189455
2016-10-27,4.63,2.180039
2016-10-28,4.61,2.170622
2016-10-31,4.79,2.255374
2016-11-01,4.63,2.180039
2016-11-02,4.56,2.147079
2016-11-03,4.54,2.137662
2016-11-04,4.5,2.118828
2016-11-07,4.55,2.14237
2016-11-08,4.59,2.161205
2016-11-09,4.59,2.161205
2016-11-10,4.75,2.23654
2016-11-11,4.91,2.311877
2016-11-14,4.78,2.250666
2016-11-15,4.85,2.283626
2016-11-16,4.9,2.307168
2016-11-17,4.97,2.340127
2016-11-18,4.99,2.349545
2016-11-21,5.01,2.358962
2016-11-22,5.01,2.358962
2016-11-23,5.02,2.36367
2016-11-25,5.15,2.424881
2016-11-28,5.14,2.420172
2016-11-29,5.08,2.391922
2016-11-30,4.83,2.274209
2016-12-01,4.95,2.330711
2016-12-02,4.88,2.297751
2016-12-05,4.91,2.311877
2016-12-06,4.96,2.335419
2016-12-07,4.89,2.30246
2016-12-08,4.89,2.30246
2016-12-09,4.92,2.316585
2016-12-12,4.82,2.2695
2016-12-13,4.93,2.321294
2016-12-14,4.89,2.30246
2016-12-15,4.86,2.288334
2016-12-16,4.79,2.255374
2016-12-19,4.76,2.241249
2016-12-20,4.76,2.241249
2016-12-21,4.81,2.264791
2016-12-22,4.73,2.227123
2016-12-23,4.91,2.311877
2016-12-27,4.95,2.330711
2016-12-28,4.98,2.344836
2016-12-29,4.93,2.321294
2016-12-30,5.03,2.368379
2017-01-03,5.12,2.410755
2017-01-04,5.29,2.4908
2017-01-05,5.44,2.561427
2017-01-06,5.39,2.537885
2017-01-09,5.35,2.519051
2017-01-10,5.31,2.500216
2017-01-11,5.32,2.504925
2017-01-12,5.42,2.552011
2017-01-13,5.37,2.528468
2017-01-17,5.34,2.514343
2017-01-18,5.31,2.500216
2017-01-19,5.17,2.434298
2017-01-20,5.25,2.471966
2017-01-23,5.22,2.45784
2017-01-24,5.25,2.471966
2017-01-25,5.26,2.476674
2017-01-26,5.26,2.476674
2017-01-27,5.23,2.462548
2017-01-30,5.24,2.467257
2017-01-31,5.21,2.453132
2017-02-01,5.39,2.537885
2017-02-02,5.27,2.481383
2017-02-03,5.37,2.528468
2017-02-06,5.36,2.52376
2017-02-07,5.26,2.476674
2017-02-08,5.27,2.481383
2017-02-09,5.25,2.471966
2017-02-10,5.26,2.476674
2017-02-13,5.25,2.471966
2017-02-14,5.28,2.486091
2017-02-15,5.3,2.495508
2017-02-16,5.38,2.533176
2017-02-17,5.45,2.566136
2017-02-21,5.48,2.580262
2017-02-22,5.37,2.528468
2017-02-23,5.36,2.52376
2017-02-24,5.33,2.509634
2017-02-27,5.31,2.500216
2017-02-28,5.31,2.500216
2017-03-01,5.52,2.599095
2017-03-02,5.43,2.556719
2017-03-03,5.42,2.552011
2017-03-06,5.44,2.561427
2017-03-07,5.38,2.533176
2017-03-08,5.38,2.533176
2017-03-09,5.32,2.504925
2017-03-10,5.4,2.542593
2017-03-13,5.39,2.537885
2017-03-14,5.3,2.495508
2017-03-15,5.37,2.528468
2017-03-16,5.35,2.519051
2017-03-17,4.63,2.180039
2017-03-20,4.87,2.293042
2017-03-21,4.73,2.227123
2017-03-22,4.7,2.212998
2017-03-23,4.43,2.085868
2017-03-24,4.46,2.099994
2017-03-27,4.43,2.085868
2017-03-28,4.54,2.137662
2017-03-29,4.52,2.128245
2017-03-30,4.48,2.109411
2017-03-31,4.48,2.109411
2017-04-03,4.5,2.118828
2017-04-04,4.51,2.123537
2017-04-05,4.5,2.118828
2017-04-06,4.51,2.123537
2017-04-07,4.51,2.123537
2017-04-10,4.54,2.137662
2017-04-11,4.57,2.151788
2017-04-12,4.59,2.161205
2017-04-13,4.55,2.14237
2017-04-17,4.66,2.194164
2017-04-18,4.71,2.217707
2017-04-19,4.68,2.203581
2017-04-20,4.65,2.189455
2017-04-21,4.55,2.14237
2017-04-24,4.53,2.132953
2017-04-25,4.51,2.123537
2017-04-26,4.54,2.137662
2017-04-27,4.49,2.114119
2017-04-28,4.42,2.08116
2017-05-01,4.56,2.147079
2017-05-02,4.51,2.123537
2017-05-03,4.44,2.090577
2017-05-04,4.51,2.123537
2017-05-05,4.52,2.128245
2017-05-08,4.53,2.132953
2017-05-09,4.38,2.062326
2017-05-10,4.48,2.109411
2017-05-11,4.51,2.123537
2017-05-12,4.53,2.132953
2017-05-15,4.51,2.123537
2017-05-16,4.51,2.123537
2017-05-17,4.49,2.114119
2017-05-18,4.51,2.123537
2017-05-19,4.53,2.132953
2017-05-22,4.48,2.109411
2017-05-23,4.5,2.118828
2017-05-24,4.52,2.128245
2017-05-25,4.55,2.14237
2017-05-26,4.53,2.132953
2017-05-30,4.57,2.151788
2017-05-31,4.51,2.123537
2017-06-01,4.54,2.137662
2017-06-02,4.57,2.151788
2017-06-05,4.54,2.137662
2017-06-06,4.5,2.118828
2017-06-07,4.51,2.123537
2017-06-08,4.53,2.132953
2017-06-09,4.51,2.123537
2017-06-12,4.52,2.128245
2017-06-13,4.5,2.118828
2017-06-14,4.53,2.132953
2017-06-15,4.43,2.085868
2017-06-16,4.51,2.123537
2017-06-19,4.47,2.104702
2017-06-20,4.37,2.057617
2017-06-21,4.35,2.0482
2017-06-22,4.34,2.043492
2017-06-23,4.34,2.043492
2017-06-26,4.32,2.034075
2017-06-27,4.29,2.019949
2017-06-28,4.32,2.034075
2017-06-29,4.3,2.024658
2017-06-30,4.34,2.043492
2017-07-03,4.43,2.085868
2017-07-05,4.37,2.057617
2017-07-06,4.34,2.043492
2017-07-07,4.27,2.010532
2017-07-10,4.16,1.958739
2017-07-11,4.15,1.95403
2017-07-12,4.19,1.972864
2017-07-13,4.13,1.944613
2017-07-14,4.22,1.986989
2017-07-17,4.23,1.991698
2017-07-18,4.22,1.986989
2017-07-19,4.12,1.939904
2017-07-20,4.1,1.930487
2017-07-21,4.06,1.911654
2017-07-24,4.08,1.921071
2017-07-25,4.11,1.935196
2017-07-26,4.06,1.911654
2017-07-27,4.03,1.897528
2017-07-28,4.06,1.911654
2017-07-31,3.99,1.878694
2017-08-01,3.96,1.864568
2017-08-02,3.94,1.855151
2017-08-03,3.88,1.8269
2017-08-04,3.88,1.8269
2017-08-07,3.92,1.845735
2017-08-08,3.86,1.817483
2017-08-09,4.42,2.08116
