date,close,adj_close
2017-02-23,10.0,3.862777
2017-02-24,10.0,3.862777
2017-02-27,10.0,3.862777
2017-02-28,10.02,3.870502
2017-03-01,10.02,3.870502
2017-03-02,10.02,3.870502
2017-03-03,10.02,3.870502
2017-03-06,10.02,3.870502
2017-03-07,10.02,3.870502
2017-03-08,10.02,3.870502
2017-03-09,10.02,3.870502
2017-03-10,10.02,3.870502
2017-03-13,10.02,3.870502
2017-03-14,10.01,3.866641
2017-03-15,10.02,3.870502
2017-03-16,10.03,3.874367
2017-03-17,10.05,3.882093
2017-03-20,10.05,3.882093
2017-03-21,10.05,3.882093
2017-03-22,10.05,3.882093
2017-03-23,10.06,3.885954
2017-03-24,10.07,3.889816
2017-03-27,10.07,3.889816
2017-03-28,10.06,3.885954
2017-03-29,10.06,3.885954
2017-03-30,10.07,3.889816
2017-03-31,10.07,3.894844
2017-04-03,10.08,3.898712
2017-04-04,10.08,3.898712
2017-04-05,10.08,3.898712
2017-04-06,10.13,3.918052
2017-04-07,10.13,3.918052
2017-04-10,10.13,3.918052
2017-04-11,10.13,3.918052
2017-04-12,10.14,3.921919
2017-04-13,10.14,3.921919
2017-04-17,10.15,3.925787
2017-04-18,10.15,3.925787
2017-04-19,10.16,3.929655
2017-04-20,10.16,3.929655
2017-04-21,10.16,3.929655
2017-04-24,10.17,3.933525
2017-04-25,10.17,3.933525
2017-04-26,10.17,3.933525
2017-04-27,10.17,3.933525
2017-04-28,10.17,3.933525
2017-05-01,10.19,3.941258
2017-05-02,10.21,3.948994
2017-05-03,10.21,3.948994
2017-05-04,10.21,3.948994
2017-05-05,10.23,3.95673
2017-05-08,10.23,3.95673
2017-05-09,10.23,3.95673
2017-05-10,10.23,3.95673
2017-05-11,10.24,3.960598
2017-05-12,10.25,3.964465
2017-05-15,10.26,3.968332
2017-05-16,10.27,3.972201
2017-05-17,10.27,3.972201
2017-05-18,10.24,3.960598
2017-05-19,10.25,3.964465
2017-05-22,10.26,3.968332
2017-05-23,10.26,3.968332
2017-05-24,10.27,3.972201
2017-05-25,10.29,3.979938
2017-05-26,10.31,3.987674
2017-05-30,10.31,3.987674
2017-05-31,10.32,3.991541
2017-06-01,10.32,3.991541
2017-06-02,10.33,3.995408
2017-06-05,10.32,3.991541
2017-06-06,10.32,3.991541
2017-06-07,10.33,3.995408
2017-06-08,10.32,3.991541
2017-06-09,10.31,3.987674
2017-06-12,10.3,3.983805
2017-06-13,10.31,3.987674
2017-06-14,10.31,3.987674
2017-06-15,10.31,3.987674
2017-06-16,10.31,3.987674
2017-06-19,10.32,3.991541
2017-06-20,10.32,3.991541
