date,close,adj_close
2018-07-18,23.04,14.532557
2018-07-19,23.05,14.538865
2018-07-20,23.08,14.557789
2018-07-23,22.97,14.538802
2018-07-24,23.0,14.557798
2018-07-25,23.02,14.570455
2018-07-26,23.04,14.583105
2018-07-27,23.0,14.557798
2018-07-30,23.01,14.564116
2018-07-31,23.02,14.570455
2018-08-01,23.03,14.576783
2018-08-02,23.02,14.570455
2018-08-03,23.02,14.570455
2018-08-06,23.03,14.576783
2018-08-07,23.03,14.576783
2018-08-08,23.05,14.589435
2018-08-09,23.05,14.589435
2018-08-10,23.06,14.595766
2018-08-13,23.06,14.595766
2018-08-14,23.08,14.608423
2018-08-15,23.06,14.595766
2018-08-16,23.08,14.608423
2018-08-17,23.09,14.614759
2018-08-20,23.03,14.62746
2018-08-21,23.02,14.621111
2018-08-22,23.03,14.62746
2018-08-23,23.02,14.621111
2018-08-24,23.03,14.62746
2018-08-27,23.05,14.640162
2018-08-28,23.04,14.633809
2018-08-29,23.06,14.646507
2018-08-30,23.05,14.640162
2018-08-31,23.06,14.646507
2018-09-04,23.07,14.652865
2018-09-05,23.07,14.652865
2018-09-06,23.09,14.665569
2018-09-07,23.07,14.652865
2018-09-10,23.09,14.665569
2018-09-11,23.11,14.678266
2018-09-12,23.11,14.678266
2018-09-13,23.12,14.684632
2018-09-14,23.14,14.697323
2018-09-17,23.15,14.703674
2018-09-18,23.14,14.697323
2018-09-19,23.14,14.697323
2018-09-20,23.19,14.729083
2018-09-21,23.19,14.729083
2018-09-24,23.11,14.728456
2018-09-25,23.13,14.74119
2018-09-26,23.16,14.760314
2018-09-27,23.18,14.773051
2018-09-28,23.17,14.766675
2018-10-01,23.19,14.779428
2018-10-02,23.21,14.792174
2018-10-03,23.19,14.779428
2018-10-04,23.19,14.779428
2018-10-05,23.19,14.779428
2018-10-08,23.18,14.773051
2018-10-09,23.16,14.760314
2018-10-10,23.13,14.74119
2018-10-11,23.08,14.709327
2018-10-12,23.11,14.728456
2018-10-15,23.14,14.747563
2018-10-16,23.18,14.773051
2018-10-17,23.17,14.766675
2018-10-18,23.14,14.747563
2018-10-19,23.14,14.747563
2018-10-22,23.09,14.766748
2018-10-23,23.07,14.753964
