date,close,adj_close
2018-07-18,80.92,59.496899
2018-07-19,81.87,60.195396
2018-07-20,81.08,59.614536
2018-07-23,80.91,59.489548
2018-07-24,80.5,59.188087
2018-07-25,81.14,59.658646
2018-07-26,81.41,59.857178
2018-07-27,80.54,59.217518
2018-07-30,80.59,59.254272
2018-07-31,81.94,60.246883
2018-08-01,82.52,60.673328
2018-08-02,82.19,60.430668
2018-08-03,83.08,61.085072
2018-08-06,82.97,61.004181
2018-08-07,82.82,60.893887
2018-08-08,82.34,60.540955
2018-08-09,82.38,60.570374
2018-08-10,81.75,60.10717
2018-08-13,81.59,59.989517
2018-08-14,81.99,60.283634
2018-08-15,82.62,60.746834
2018-08-16,83.29,61.239445
2018-08-17,84.06,61.805603
2018-08-20,84.12,61.849705
2018-08-21,83.61,61.474739
2018-08-22,83.14,61.129173
2018-08-23,82.93,60.97477
2018-08-24,83.42,61.335033
2018-08-27,83.12,61.114464
2018-08-28,84.24,61.937954
2018-08-29,84.26,61.952656
2018-08-30,83.72,61.555622
2018-08-31,84.05,61.798267
2018-09-04,83.05,61.063
2018-09-05,83.53,61.415905
2018-09-06,83.77,61.592373
2018-09-07,82.86,60.923306
2018-09-10,83.23,61.195362
2018-09-11,83.22,61.188
2018-09-12,83.26,61.217396
2018-09-13,83.67,61.518845
2018-09-14,83.14,61.129173
2018-09-17,83.41,61.327679
2018-09-18,83.01,61.033592
2018-09-19,82.04,60.320374
2018-09-20,82.81,60.886551
2018-09-21,82.78,60.864487
2018-09-24,80.17,59.771488
2018-09-25,80.18,59.778938
2018-09-26,79.22,59.063194
2018-09-27,79.6,59.346512
2018-09-28,80.68,60.151711
2018-10-01,79.93,59.592552
2018-10-02,79.75,59.458347
2018-10-03,78.9,58.824631
2018-10-04,78.24,58.332554
2018-10-05,78.2,58.302723
2018-10-08,79.33,59.145214
2018-10-09,79.44,59.227238
2018-10-10,78.26,58.347481
2018-10-11,76.02,56.677406
2018-10-12,75.82,56.528301
2018-10-15,76.33,56.908535
2018-10-16,77.9,58.079056
2018-10-17,77.6,57.8554
2018-10-18,77.45,57.743557
2018-10-19,78.12,58.243095
2018-10-22,77.03,57.430424
2018-10-23,77.37,57.683933
2018-10-24,78.1,58.228176
2018-10-25,79.1,58.973732
2018-10-26,77.2,57.557175
2018-10-29,78.18,58.287842
2018-10-30,79.25,59.085575
2018-10-31,78.32,58.392193
2018-11-01,78.69,58.668064
2018-11-02,78.04,58.183453
2018-11-05,79.2,59.048302
2018-11-06,79.6,59.346512
2018-11-07,80.55,60.054802
2018-11-08,80.61,60.099518
