date,close,adj_close
2018-07-18,89.72,78.279205
2018-07-19,89.3,77.91275
2018-07-20,89.56,78.139572
2018-07-23,89.57,78.148308
2018-07-24,89.97,78.497299
2018-07-25,90.67,79.10804
2018-07-26,90.52,78.977165
2018-07-27,90.07,78.584557
2018-07-30,89.8,78.349007
2018-07-31,90.09,78.602005
2018-08-01,89.83,78.375153
2018-08-02,90.03,78.549652
2018-08-03,90.28,78.767769
2018-08-06,90.37,78.846298
2018-08-07,90.74,79.169106
2018-08-08,90.79,79.21273
2018-08-09,90.46,78.92482
2018-08-10,89.44,78.034897
2018-08-13,89.15,77.781876
2018-08-14,89.47,78.061066
2018-08-15,88.66,77.354355
2018-08-16,89.28,77.895294
2018-08-17,89.6,78.174484
2018-08-20,89.98,78.50602
2018-08-21,90.4,78.87249
2018-08-22,90.52,78.977165
2018-08-23,90.27,78.759048
2018-08-24,90.71,79.142952
2018-08-27,91.57,79.893272
2018-08-28,91.5,79.832199
2018-08-29,92.0,80.268448
2018-08-30,91.56,79.884537
2018-08-31,91.12,79.500671
2018-09-04,90.76,79.186569
2018-09-05,90.31,78.793945
2018-09-06,90.13,78.636909
2018-09-07,89.68,78.244293
2018-09-10,89.92,78.453682
2018-09-11,90.25,78.7416
2018-09-12,90.46,78.92482
2018-09-13,91.05,79.439598
2018-09-14,91.11,79.491936
2018-09-17,90.79,79.21273
2018-09-18,91.3,79.657715
2018-09-19,91.65,79.963066
2018-09-20,92.51,80.713409
2018-09-21,92.5,80.704689
2018-09-24,92.13,80.381874
2018-09-25,92.04,80.303352
2018-09-26,92.08,80.338234
2018-09-27,92.04,80.303352
2018-09-28,91.8,80.093956
2018-10-01,92.13,80.381874
2018-10-02,91.73,80.032875
2018-10-03,91.89,80.172455
2018-10-04,90.87,79.282539
2018-10-05,90.51,78.968445
2018-10-08,90.12,78.628174
2018-10-09,89.96,78.488571
2018-10-10,87.64,76.464424
2018-10-11,85.88,74.928848
2018-10-12,86.84,75.766426
2018-10-15,86.33,75.321465
2018-10-16,88.07,76.839592
2018-10-17,87.85,76.647636
2018-10-18,86.6,75.55703
2018-10-19,86.72,75.661728
2018-10-22,86.51,75.478508
2018-10-23,85.79,74.850327
2018-10-24,83.28,72.660416
2018-10-25,84.62,73.829521
2018-10-26,83.45,72.808723
2018-10-29,83.06,72.468445
2018-10-30,84.25,73.506699
2018-10-31,85.25,74.379196
2018-11-01,86.07,75.09462
2018-11-02,85.78,74.841599
2018-11-05,86.17,75.181854
2018-11-06,86.57,75.530861
2018-11-07,88.14,76.90065
2018-11-08,87.58,76.412071
2018-11-09,87.08,75.975838
2018-11-12,85.3,74.422791
2018-11-13,85.52,74.614731
2018-11-14,85.01,74.169777
2018-11-15,85.66,74.7369
2018-11-16,85.86,74.911407
2018-11-19,84.76,73.95166
2018-11-20,83.24,72.625496
2018-11-21,83.95,73.244942
2018-11-23,83.28,72.660416
2018-11-26,84.3,73.550323
2018-11-27,84.44,73.672478
2018-11-28,86.3,75.295288
2018-11-29,86.04,75.068459
2018-11-30,86.21,75.216766
2018-12-03,87.35,76.211395
2018-12-04,84.69,73.890602
2018-12-06,84.42,73.655022
2018-12-07,82.91,72.337563
2018-12-10,82.74,72.18924
2018-12-11,82.65,72.110725
2018-12-12,83.54,72.88726
2018-12-13,83.37,72.738922
2018-12-14,81.94,71.491264
2018-12-17,80.66,70.374496
2018-12-18,79.99,70.401772
2018-12-19,79.09,69.609634
2018-12-20,77.94,68.597504
2018-12-21,76.52,67.347702
2018-12-24,75.04,66.045128
2018-12-26,77.5,68.210251
2018-12-27,78.27,68.887947
2018-12-28,78.33,68.993645
2018-12-31,78.87,69.469269
2019-01-02,78.88,69.478081
2019-01-03,77.56,68.315407
2019-01-04,79.92,70.394119
2019-01-07,80.29,70.720024
2019-01-08,81.08,71.415871
2019-01-09,81.64,71.909119
2019-01-10,82.01,72.235023
2019-01-11,81.77,72.023621
2019-01-14,81.47,71.759377
2019-01-15,82.21,72.411179
2019-01-16,82.29,72.481651
2019-01-17,82.88,73.001312
2019-01-18,83.79,73.802849
2019-01-22,82.64,72.789902
2019-01-23,82.83,72.957268
2019-01-24,82.99,73.098198
2019-01-25,83.84,73.846886
2019-01-28,83.22,73.300797
2019-01-29,83.36,73.424088
2019-01-30,84.39,74.331337
2019-01-31,84.96,74.833382
2019-02-01,84.93,74.806961
2019-02-04,85.44,75.25618
2019-02-05,85.91,75.670158
2019-02-06,85.68,75.46759
2019-02-07,84.8,74.692451
2019-02-08,84.72,74.622002
2019-02-11,84.71,74.613197
2019-02-12,85.79,75.564468
2019-02-13,85.99,75.740608
2019-02-14,85.87,75.634926
2019-02-15,86.94,76.577393
2019-02-19,87.15,76.762337
2019-02-20,87.4,76.982544
2019-02-21,87.14,76.753555
2019-02-22,87.63,77.18515
2019-02-25,87.82,77.352509
2019-02-26,87.92,77.440575
2019-02-27,87.7,77.246811
2019-02-28,87.49,77.061829
2019-03-01,88.07,77.572701
2019-03-04,87.69,77.238007
2019-03-05,87.69,77.238007
2019-03-06,87.23,76.832817
2019-03-07,86.37,76.075333
2019-03-08,86.24,75.960823
2019-03-11,87.37,76.956146
2019-03-12,87.54,77.105865
2019-03-13,88.24,77.722443
2019-03-14,88.08,77.581512
2019-03-15,88.75,78.171661
2019-03-18,89.1,78.479942
2019-03-19,89.13,78.506348
2019-03-20,88.95,78.347809
2019-03-21,89.58,78.902718
2019-03-22,87.83,77.36132
2019-03-25,87.84,77.37011
2019-03-26,88.43,77.889786
2019-03-27,88.12,77.616737
2019-03-28,88.31,77.784073
2019-03-29,88.79,78.206879
2019-04-01,89.82,79.11412
2019-04-02,89.85,79.140526
2019-04-03,90.2,79.448822
2019-04-04,90.28,79.519272
2019-04-05,90.62,79.818764
2019-04-08,90.72,79.906837
2019-04-09,90.2,79.448822
2019-04-10,90.52,79.730682
2019-04-11,90.48,79.69545
2019-04-12,91.07,80.215118
2019-04-15,91.05,80.19751
2019-04-16,91.12,80.259163
2019-04-17,91.07,80.215118
2019-04-18,91.21,80.33844
2019-04-22,91.22,80.347252
2019-04-23,91.7,80.77002
2019-04-24,91.38,80.488174
2019-04-25,91.31,80.426521
2019-04-26,91.73,80.796471
2019-04-29,91.88,80.928581
2019-04-30,92.09,81.113548
2019-05-01,91.31,80.426521
2019-05-02,91.16,80.294403
2019-05-03,92.13,81.148773
2019-05-06,91.54,80.629089
2019-05-07,89.99,79.263847
2019-05-08,89.96,79.237427
2019-05-09,89.56,78.885086
2019-05-10,89.95,79.228607
2019-05-13,87.93,77.449387
2019-05-14,88.71,78.136429
2019-05-15,89.25,78.612045
2019-05-16,89.96,79.237427
2019-05-17,89.5,78.83226
2019-05-20,88.87,78.277351
