date,close,adj_close
2018-07-18,62.75,39.498138
2018-07-19,62.25,39.183418
2018-07-20,62.5,39.340778
2018-07-23,62.15,39.120468
2018-07-24,62.35,39.246353
2018-07-25,63.0,39.655495
2018-07-26,62.3,39.214882
2018-07-27,62.45,39.309303
2018-07-30,62.3,39.214882
2018-07-31,62.3,39.214882
2018-08-01,62.2,39.151936
2018-08-02,61.75,38.868687
2018-08-03,62.0,39.026047
2018-08-06,62.1,39.088997
2018-08-07,62.3,39.214882
2018-08-08,62.85,39.561081
2018-08-09,62.85,39.561081
2018-08-10,62.0,39.026047
2018-08-13,61.65,38.80574
2018-08-14,61.8,38.900162
2018-08-15,60.75,38.239231
2018-08-16,61.05,38.428062
2018-08-17,61.6,38.774261
2018-08-20,61.95,38.994576
2018-08-21,62.4,39.277832
2018-08-22,62.75,39.498138
2018-08-23,62.5,39.340778
2018-08-24,63.15,39.749916
2018-08-27,63.7,40.096115
2018-08-28,63.6,40.033169
2018-08-29,63.65,40.064648
2018-08-30,62.95,39.624035
2018-08-31,62.75,39.498138
2018-09-04,62.1,39.088997
2018-09-05,61.45,38.679855
2018-09-06,61.45,38.679855
2018-09-07,61.25,38.553951
2018-09-10,61.65,38.80574
2018-09-11,61.95,38.994576
2018-09-12,62.45,39.309303
2018-09-13,63.05,39.686977
2018-09-14,63.2,39.781391
2018-09-17,63.25,39.812862
2018-09-18,63.55,40.001701
2018-09-19,63.55,40.001701
2018-09-20,64.25,40.442314
2018-09-21,64.4,40.536732
2018-09-24,62.85,40.420967
2018-09-25,62.55,40.228024
2018-09-26,62.5,40.195877
2018-09-27,62.1,39.938622
2018-09-28,61.5,39.552734
2018-10-01,61.7,39.68137
2018-10-02,61.25,39.391953
2018-10-03,61.45,39.520584
2018-10-04,60.45,38.877441
2018-10-05,60.0,38.588032
2018-10-08,59.2,38.073536
2018-10-09,58.9,37.880589
2018-10-10,57.05,36.6908
2018-10-11,56.35,36.240593
2018-10-12,56.9,36.59433
2018-10-15,56.65,36.433533
2018-10-16,57.8,37.173141
2018-10-17,57.35,36.883732
2018-10-18,56.3,36.208435
2018-10-19,56.1,36.079823
