date,close,adj_close
2024-03-26,9.0,9.0
2024-03-27,17.6,17.6
2024-03-28,25.0,25.0
2024-04-01,24.43,24.43
2024-04-02,21.22,21.219999
2024-04-03,27.02,27.02
2024-04-04,33.54,33.540001
2024-04-05,59.2,59.200001
2024-04-08,99.79,99.790001
2024-04-09,64.0,64.0
2024-04-10,56.0,56.0
2024-04-11,50.41,50.41
2024-04-12,29.0,29.0
2024-04-15,36.88,36.880001
2024-04-16,43.5,43.5
2024-04-17,29.53,29.530001
2024-04-18,32.26,32.259998
2024-04-19,28.39,28.389999
2024-04-22,24.69,24.690001
2024-04-23,28.49,28.49
2024-04-24,26.5,26.5
2024-04-25,24.56,24.559999
2024-04-26,18.83,18.83
2024-04-29,17.25,17.25
2024-04-30,17.49,17.49
2024-05-01,14.91,14.91
2024-05-02,13.2,13.2
2024-05-03,13.0,13.0
2024-05-06,13.5,13.5
2024-05-07,13.77,13.77
2024-05-08,14.41,14.41
2024-05-09,13.86,13.86
2024-05-10,14.45,14.45
2024-05-13,16.04,16.040001
2024-05-14,16.94,16.940001
2024-05-15,16.72,16.719999
2024-05-16,15.49,15.49
2024-05-17,14.78,14.78
2024-05-20,15.19,15.19
2024-05-21,15.14,15.14
2024-05-22,13.78,13.78
2024-05-23,13.98,13.98
2024-05-24,15.08,15.08
2024-05-28,15.25,15.25
2024-05-29,15.49,15.49
2024-05-30,15.5,15.5
2024-05-31,14.87,14.87
2024-06-03,13.82,13.82
2024-06-04,13.8,13.8
2024-06-05,14.1,14.1
2024-06-06,13.4,13.4
2024-06-07,12.9,12.9
2024-06-10,13.14,13.14
2024-06-11,12.7,12.7
2024-06-12,13.29,13.29
2024-06-13,13.19,13.19
2024-06-14,12.99,12.99
2024-06-17,12.8,12.8
2024-06-18,13.07,13.07
2024-06-20,12.5,12.5
2024-06-21,12.6,12.6
2024-06-24,11.52,11.52
2024-06-25,11.47,11.47
2024-06-26,10.8,10.8
2024-06-27,14.44,14.44
2024-06-28,15.22,15.22
2024-07-01,13.59,13.59
2024-07-02,13.98,13.98
2024-07-03,13.5,13.5
2024-07-05,14.49,14.49
2024-07-08,15.18,15.18
2024-07-09,14.86,14.86
2024-07-10,14.21,14.21
2024-07-11,13.68,13.68
2024-07-12,14.58,14.58
2024-07-15,14.25,14.25
2024-07-16,14.73,14.73
2024-07-17,14.24,14.24
2024-07-18,13.89,13.89
2024-07-19,13.55,13.55
2024-07-22,13.84,13.84
2024-07-23,13.54,13.54
2024-07-24,13.12,13.12
2024-07-25,12.22,12.22
2024-07-26,13.0,13.0
2024-07-29,12.35,12.35
2024-07-30,12.04,12.04
2024-07-31,12.28,12.28
2024-08-01,11.14,11.14
2024-08-02,10.83,10.83
2024-08-05,9.75,9.75
2024-08-06,9.91,9.91
2024-08-07,9.63,9.63
2024-08-08,10.28,10.28
2024-08-09,10.23,10.23
2024-08-12,10.26,10.26
2024-08-13,10.37,10.37
2024-08-14,10.02,10.02
2024-08-15,10.9,10.9
2024-08-16,11.38,11.38
2024-08-19,13.15,13.15
2024-08-20,13.01,13.01
2024-08-21,13.07,13.07
2024-08-22,12.57,12.57
2024-08-23,12.47,12.47
2024-08-26,12.73,12.73
2024-08-27,13.02,13.02
2024-08-28,12.47,12.47
2024-08-29,12.53,12.53
2024-08-30,13.03,13.03
2024-09-03,11.52,11.52
2024-09-04,11.51,11.51
2024-09-05,10.98,10.98
2024-09-06,10.26,10.26
2024-09-09,10.8,10.8
2024-09-10,11.31,11.31
2024-09-11,11.69,11.69
2024-09-12,11.65,11.65
2024-09-13,11.82,11.82
2024-09-16,11.41,11.41
2024-09-17,11.53,11.53
2024-09-18,11.82,11.82
2024-09-19,11.73,11.73
2024-09-20,11.1,11.1
2024-09-23,10.88,10.88
2024-09-24,10.48,10.48
2024-09-25,10.3,10.3
2024-09-26,10.34,10.34
2024-09-27,10.2,10.2
2024-09-30,9.95,9.95
2024-10-01,9.88,9.88
2024-10-02,9.98,9.98
2024-10-03,10.26,10.26
2024-10-04,10.11,10.11
2024-10-07,9.95,9.95
2024-10-08,9.9,9.9
2024-10-09,9.94,9.94
2024-10-10,9.93,9.93
2024-10-11,9.98,9.98
2024-10-14,12.08,12.08
2024-10-15,11.96,11.96
2024-10-16,11.33,11.33
2024-10-17,10.93,10.93
2024-10-18,11.71,11.71
2024-10-21,11.4,11.4
2024-10-22,11.52,11.52
2024-10-23,11.16,11.16
2024-10-24,11.6,11.6
2024-10-25,11.99,11.99
2024-10-28,11.78,11.78
2024-10-29,11.36,11.36
2024-10-30,11.36,11.36
2024-10-31,10.79,10.79
2024-11-01,11.18,11.18
2024-11-04,10.91,10.91
2024-11-05,11.59,11.59
2024-11-06,15.89,15.89
2024-11-07,22.1,22.1
2024-11-08,36.2,36.200001
2024-11-11,42.43,42.43
2024-11-12,30.4,30.4
2024-11-13,33.01,33.009998
2024-11-14,28.68,28.68
2024-11-15,32.19,32.189999
2024-11-18,36.56,36.560001
2024-11-19,45.36,45.360001
2024-11-20,37.85,37.849998
2024-11-21,39.48,39.48
2024-11-22,41.97,41.970001
2024-11-25,43.89,43.889999
2024-11-26,43.59,43.59
2024-11-27,39.98,39.98
2024-11-29,41.26,41.259998
2024-12-02,40.57,40.57
2024-12-03,42.45,42.450001
2024-12-04,46.4,46.400002
2024-12-05,51.6,51.599998
2024-12-06,67.26,67.260002
2024-12-09,60.04,60.040001
2024-12-10,61.36,61.360001
2024-12-11,66.32,66.32
2024-12-12,72.54,72.540001
2024-12-13,70.13,70.129997
2024-12-16,69.27,69.269997
2024-12-17,69.77,69.769997
2024-12-18,61.81,61.810001
2024-12-19,60.11,60.110001
2024-12-20,60.12,60.119999
2024-12-23,68.0,68.0
2024-12-24,68.99,68.989998
2024-12-26,68.0,68.0
2024-12-27,65.3,65.300003
2024-12-30,60.19,60.189999
2024-12-31,58.86,58.860001
2025-01-02,57.16,57.16
2025-01-03,61.7,61.700001
2025-01-06,61.78,61.779999
2025-01-07,59.04,59.040001
2025-01-08,58.1,58.099998
2025-01-10,56.45,56.450001
2025-01-13,48.49,48.490002
2025-01-14,49.81,49.810001
2025-01-15,55.28,55.279999
2025-01-16,57.38,57.380001
2025-01-17,56.54,56.540001
2025-01-21,61.28,61.279999
2025-01-22,65.28,65.279999
2025-01-23,64.45,64.449997
2025-01-24,62.91,62.91
2025-01-27,58.7,58.700001
2025-01-28,56.6,56.599998
2025-01-29,56.17,56.169998
2025-01-30,56.86,56.860001
2025-01-31,54.68,54.68
2025-02-03,52.56,52.560001
2025-02-04,53.46,53.459999
2025-02-05,51.47,51.470001
2025-02-06,52.44,52.439999
2025-02-07,50.8,50.799999
2025-02-10,52.19,52.189999
2025-02-11,46.31,46.310001
2025-02-12,49.05,49.049999
2025-02-13,51.0,51.0
2025-02-14,50.32,50.32
2025-02-18,50.55,50.549999
2025-02-19,54.0,54.0
2025-02-20,50.83,50.830002
2025-02-21,48.27,48.27
2025-02-24,44.76,44.759998
2025-02-25,37.03,37.029999
2025-02-26,40.9,40.900002
2025-02-27,40.69,40.689999
2025-02-28,40.6,40.599998
2025-03-03,37.14,37.139999
2025-03-04,35.2,35.200001
2025-03-05,36.58,36.580002
2025-03-06,33.24,33.240002
2025-03-07,32.33,32.330002
2025-03-10,29.2,29.200001
2025-03-11,28.79,28.790001
2025-03-12,30.18,30.18
2025-03-13,29.36,29.360001
2025-03-14,33.3,33.299999
2025-03-17,38.99,38.990002
2025-03-18,37.78,37.779999
